item_id,coder,order_index,in_overlap,M1,M2,M3,M5,M6,M7,M8,addressed_to,orientation,proc_substantial
R092,coder2,92,0,0,0,0,0,0,0,0,,,
R093,coder2,93,0,0,0,0,0,0,0,0,,,
R094,coder2,94,0,0,0,0,0,0,0,0,,,
R095,coder2,95,0,0,0,0,0,0,0,0,,,
R096,coder2,96,0,0,0,0,0,0,0,0,,,
R097,coder2,97,0,0,0,0,0,0,0,0,,,
R098,coder2,98,0,0,0,0,0,0,0,0,,,
R099,coder2,99,0,0,0,0,0,0,0,0,,,
R100,coder2,100,0,0,0,0,0,0,0,0,,,
R101,coder2,101,0,0,0,0,0,0,0,0,,,
R102,coder2,102,0,0,0,0,0,0,0,0,,,
R103,coder2,103,0,0,0,0,0,0,0,0,,,
R104,coder2,104,0,0,0,0,0,0,0,0,,,
R105,coder2,105,0,0,0,0,0,0,0,0,,,
R106,coder2,106,0,0,0,0,0,0,0,0,,,
R107,coder2,107,0,0,0,0,0,0,0,0,,,
R108,coder2,108,0,0,0,0,0,0,0,0,,,
R109,coder2,109,0,0,0,0,0,0,0,0,,,
R110,coder2,110,0,0,0,0,0,0,0,0,,,
R111,coder2,111,0,0,0,0,0,0,0,0,,,
R112,coder2,112,0,0,0,0,0,0,0,0,,,
R113,coder2,113,0,0,0,0,0,0,0,0,,,
R114,coder2,114,0,0,0,0,0,0,0,0,,,
R115,coder2,115,0,0,0,0,0,0,0,0,,,
R116,coder2,116,0,0,0,0,0,0,0,0,,,
R117,coder2,117,0,0,0,0,0,0,0,0,,,
R118,coder2,118,0,0,0,0,0,0,0,0,,,
R119,coder2,119,0,0,0,0,0,0,0,0,,,
R120,coder2,120,0,0,0,0,0,0,0,0,,,
R121,coder2,121,0,0,0,0,0,0,0,0,,,
R122,coder2,122,0,0,0,0,0,0,0,0,,,
R123,coder2,123,0,0,0,0,0,0,0,0,,,
R124,coder2,124,0,0,0,0,0,0,0,0,,,
R125,coder2,125,0,0,0,0,0,0,0,0,,,
R126,coder2,126,0,0,0,0,0,0,0,0,,,
R127,coder2,127,0,0,0,0,0,0,0,0,,,
R128,coder2,128,0,0,0,0,0,0,0,0,,,
R129,coder2,129,0,0,0,0,0,0,0,0,,,
R130,coder2,130,0,0,0,0,0,0,0,0,,,
R131,coder2,131,0,0,0,0,0,0,0,0,,,
R132,coder2,132,0,0,0,0,0,0,0,0,,,
R133,coder2,133,0,0,0,0,0,0,0,0,,,
R134,coder2,134,0,0,0,0,0,0,0,0,,,
R135,coder2,135,0,0,0,0,0,0,0,0,,,
R136,coder2,136,0,0,0,0,0,0,0,0,,,
R137,coder2,137,0,0,0,0,0,0,0,0,,,
R138,coder2,138,0,0,0,0,0,0,0,0,,,
R139,coder2,139,0,0,0,0,0,0,0,0,,,
R140,coder2,140,0,0,0,0,0,0,0,0,,,
R141,coder2,141,0,0,0,0,0,0,0,0,,,
R142,coder2,142,0,0,0,0,0,0,0,0,,,
R143,coder2,143,0,0,0,0,0,0,0,0,,,
R144,coder2,144,0,0,0,0,0,0,0,0,,,
R145,coder2,145,0,0,0,0,0,0,0,0,,,
R146,coder2,146,0,0,0,0,0,0,0,0,,,
R147,coder2,147,0,0,0,0,0,0,0,0,,,
R148,coder2,148,0,0,0,0,0,0,0,0,,,
R149,coder2,149,0,0,0,0,0,0,0,0,,,
